,threshold,accuracy,precision,recall,f1score
734,0.734,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
735,0.735,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
736,0.736,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
737,0.737,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
738,0.738,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
739,0.739,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
740,0.74,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
741,0.741,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
742,0.742,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
743,0.743,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
744,0.744,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
745,0.745,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
746,0.746,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
747,0.747,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
748,0.748,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
721,0.721,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
719,0.719,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
690,0.6900000000000001,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
718,0.718,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
691,0.6910000000000001,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
692,0.6920000000000001,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
693,0.6930000000000001,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
694,0.6940000000000001,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
695,0.6950000000000001,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
696,0.6960000000000001,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
697,0.6970000000000001,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
698,0.6980000000000001,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
699,0.6990000000000001,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
700,0.7000000000000001,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
701,0.7010000000000001,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
702,0.7020000000000001,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
703,0.7030000000000001,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
704,0.704,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
705,0.705,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
706,0.706,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
707,0.707,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
708,0.708,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
709,0.709,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
710,0.71,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
711,0.711,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
712,0.712,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
713,0.713,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
714,0.714,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
715,0.715,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
716,0.716,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
717,0.717,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
627,0.627,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
625,0.625,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
750,0.75,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
547,0.547,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
534,0.534,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
535,0.535,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
536,0.536,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
537,0.537,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
538,0.538,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
539,0.539,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
540,0.54,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
541,0.541,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
542,0.542,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
543,0.543,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
544,0.544,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
545,0.545,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
546,0.546,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
548,0.548,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
624,0.624,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
549,0.549,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
550,0.55,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
551,0.551,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
552,0.552,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
553,0.553,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
554,0.554,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
555,0.555,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
556,0.556,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
557,0.557,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
558,0.558,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
559,0.559,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
560,0.56,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
561,0.561,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
533,0.533,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
532,0.532,0.9583333333333334,0.9578313253012049,1.0,0.9784615384615385
